x, y, z, k, eps, mut
2.80488, 0.04839, 0.0, 0.00498, 0.00539, 0.00042
2.80488, 0.08065, 0.0, 0.00378, 0.00187, 0.00069
2.80488, 0.11290, 0.0, 0.00369, 0.00103, 0.00119
2.80488, 0.14516, 0.0, 0.00382, 0.00077, 0.00172
2.80488, 0.17742, 0.0, 0.00396, 0.00066, 0.00214
2.80488, 0.20968, 0.0, 0.00407, 0.00061, 0.00245
2.80488, 0.24194, 0.0, 0.00415, 0.00059, 0.00265
2.80488, 0.27419, 0.0, 0.00421, 0.00057, 0.00279
2.80488, 0.30645, 0.0, 0.00425, 0.00057, 0.00287
2.80488, 0.33871, 0.0, 0.00427, 0.00056, 0.00292
2.80488, 0.37097, 0.0, 0.00428, 0.00056, 0.00295
